Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Dept,Weekly_Sales,Type,Size
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,1,46039.49,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,2,44682.74,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,3,10887.84,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,4,35351.21,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,5,29620.81,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,6,9135.0,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,7,18310.31,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,8,37334.83,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,9,16562.49,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,10,31494.77,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,11,21760.75,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,12,8654.07,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,13,36476.4,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,14,18129.02,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,16,11873.89,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,17,13403.66,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,18,19006.5,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,19,1490.79,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,20,3697.7,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,21,8735.83,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,22,14807.95,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,23,22812.41,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,24,8050.24,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,25,13268.75,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,26,10050.92,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,27,2339.5,A,151315
1,2010-02-12,38.51,2.548,,,,,,211.24216980000003,8.106,True,28,1008.36,A,151315
